ءی	1.0	i
آ 1.0	A 
ریکارڈنگ 1.0	r i k A r d' i N 
ریگولیٹری 1.0	r Y g u l e t' r i 
زاءد 1.0	z A i dd 
زاد 1.0	z A dd 
زار 1.0	z A r 
زبان 1.0	z U b A n 
زبانیں 1.0	z U b A n e~ 
زبردست 1.0	z y b y r dd y s td 
زخمی 1.0	z y x m i 
زد 1.0	z y dd 
زده 1.0	z y dd A 
زرخیز 1.0	z y r x e z 
زرداری	1.0	z y r dd A r i
زمانه 1.0	z y m A n A 
زمانے 1.0	z y m A n e 
زمین 1.0	z y m i n 
زمینی 1.0	z y m i n i 
زمیں 1.0	z y m i~ 
زنده 1.0	z i n dd A 
زندگی 1.0	z i n dd y g i 
زندگیاں 1.0	z i n dd y g j A~ 
زور 1.0	z o r 
زون 1.0	z o n 
زیادتی 1.0	z i j A dd y td i 
زیاده 1.0	z A dd A 
زیاده 1.0	z e A dd A 
زیاده 1.0	z i j A dd A 
زیارت 1.0	z i j A r y td 
زیر 1.0	z i r 
زیرآب 1.0	z e r e A b 
زینت 1.0	z i n y td 
س	1.0	s
سا 1.0	s A 
ساءن 1.0	s A i n 
ساءنسدان 1.0	s A i n s dd A n 
ساءونڈ 1.0	s A u n d' 
ساءٹ 1.0	s A i t' 
ساءٹس 1.0	s A i t' s 
ساب	1.0	s A b
سابق 1.0	s A b i q 
سابقه 1.0	s A b i q A 
سات 1.0	s A td 
ساتوں 1.0	s A td o~ 
ساتھ 1.0	s A tdh 
ساتھی 1.0	s A tdh i 
ساحل 1.0	s A h i l 
سارا 1.0	s A r A 
ساری 1.0	s A r i 
سارے 1.0	s A r e 
سازباز 1.0	s A z b A z 
سازی	1.0	s A z i
سال 1.0	s A l 
سالانه 1.0	s A l A n A 
ساله 1.0	s A l A 
سالهپانچ	1.0	s A l y h p A n tS
سالوں 1.0	s A l o~ 
سالی 1.0	s A l i 
سامان 1.0	s A m A n 
سامنا 1.0	s A m n A 
سامنے 1.0	s A m n e 
سانس 1.0	s A n s 
ساٹھ 1.0	s A t'h 
ساڑھے 1.0	s A r'h e 
سب 1.0	s y b 
سبب 1.0	s y b y b 
سبز 1.0	s y b z 
ستارے 1.0	s i td A r e 
ستر 1.0	s y td r 
ستلج 1.0	s y td l U dZ 
ستھرے 1.0	s U tdh r e 
سجا 1.0	s y dZ A 
سحر 1.0	s E h E r 
سخاوت 1.0	s y x A v y td 
سخت 1.0	s y x td 
سدا 1.0	s y dd A 
سدھ 1.0	s U ddh 
سر 1.0	s U r 
سر 1.0	s y r 
سر 1.0	s y r e 
سرانجام 1.0	s y r y n dZ A m 
سربراه 1.0	s y r b y r A 
سربراهان 1.0	s y r b y r A h A n 
سرتاج 1.0	s y r td A dZ 
سرحد 1.0	s y r h y dd 
سرد 1.0	s y r dd 
سردار 1.0	s y r dd A r 
سرشار 1.0	s y r S A r 
سرفراز 1.0	s y r f y r A z 
سرمایه 1.0	s y r m A j A 
سرور 1.0	s U r u r 
سروس 1.0	s y r v i s 
سروسز 1.0	s y r v i s i z 
سروے 1.0	s y r v e 
سرکاری 1.0	s y r k A r i 
سرگرم 1.0	s y r g y r m 
سرگرمیوں 1.0	s y r g y r m i o~ 
سرگوشیاں 1.0	s y r g o S i j A~ 
سرے 1.0	s i r e 
سزا 1.0	s y z A 
سستی 1.0	s U s td i 
سستے 1.0	s y s td e 
سسٹم 1.0	s i s t' y m 
سسے	1.0	s i s e
سطح 1.0	s y td h 
سطع	1.0	s y td td e
سعدی 1.0	s y y dd i 
سعودی 1.0	s y u dd i 
سفارتی 1.0	s i f A r td i 
سفر 1.0	s y f y r 
سلام 1.0	s l A m 
سلام 1.0	s y l A m 
سلامت 1.0	s y l A m y td 
سلامتی 1.0	s y l A m td i 
سلسله 1.0	s i l s i l A 
سلسله 1.0	s i l s l A 
سلسلے 1.0	s i l s i l e 
سلطنت 1.0	s y l td y n y td 
سلوا 1.0	s i l v A 
سلیب	1.0	i b
سلیمان 1.0	s U l Y m A n 
سلیپنگ 1.0	s y l i p i N 
سما 1.0	s y m A 
سماجی 1.0	s y m A dZ i 
سماع 1.0	s y m A 
سماعت 1.0	s y m A y td 
سماعتوں 1.0	s y m A y td o~ 
سمت 1.0	s i m td 
سمجھ 1.0	s y m y dZh 
سمجھا 1.0	s y m dZh A 
سمجھتا 1.0	s y m y dZh td A 
سمجھتے 1.0	s y m y dZh td e 
سمجھنے 1.0	s y m y dZh n e 
سمجھیں 1.0	s y m dZh i~ 
سمجھے 1.0	s y m dZh e 
سمز 1.0	s i m z 
سمندر 1.0	s y m y n dd y r 
سموسه 1.0	s y m o s A 
سموسے 1.0	s y m o s e 
سمیت 1.0	s y m e td 
سمیع 1.0	s y m i 
سمیٹ 1.0	s y m e t' 
سن 1.0	s U n 
سنا 1.0	s U n A 
سناتے 1.0	s U n A td e 
سنانا 1.0	s U n A n A 
سنبھال 1.0	s y m bh A l 
سنبھالتاهے	1.0	s n i bh A l td A h e
سنت 1.0	s U n n y td 
سنتا 1.0	s U n td A 
سنتے 1.0	s U n td e 
سنجیده 1.0	s y n dZ i dd A 
سندھ 1.0	s i n ddh 
سنسر 1.0	s y n s y r 
سننے 1.0	s U n n e 
سنهرے 1.0	s U n y h r e 
سنوارا 1.0	s y n v A r A 
سنوواءٹ	1.0	s y n O v A i t'
سنٹر 1.0	s y n t' y r 
سنڈریلا	1.0	s y n d' y r i l A
سنکی 1.0	s y n k i 
سنگھ 1.0	s i n gh 
سنیما 1.0	s y n i m A 
سنے 1.0	s U n e 
سهارے 1.0	s y h A r e 
سهانے 1.0	s y h A n e 
سهمے 1.0	s y h m e 
سهولت 1.0	s U h u l y td 
سهولتوں 1.0	s U h u l y td o~ 
سهولتیں 1.0	s U h u l y td e~ 
سهولیات 1.0	s U h u l i j A td 
سهیل 1.0	s U h e l 
سو 1.0	s o 
سو 1.0	s u 
سوءی 1.0	s u i 
سوءے 1.0	s o e 
سوا 1.0	s U v A 
سواءے 1.0	s i v A e 
سوات 1.0	s y v A td 
سوال 1.0	s U v A l 
سوالات 1.0	s y v A l A td 
سوالیه 1.0	s U v A l i j A 
سوتے 1.0	s o td e 
سوجھ 1.0	s u dZh 
سورج 1.0	s u r y dZ 
سوشل 1.0	s o S y l 
سولر 1.0	s o l y r 
سوله 1.0	s o l A 
سولهویں 1.0	s o l y h v i~ 
سونے 1.0	s u n e 
سوهان 1.0	s o h A n 
سوچ 1.0	s o tS 
سوچا 1.0	s o tS A 
سوچتا 1.0	s o tS td A 
سوچتے 1.0	s o tS td e 
سوچنا 1.0	s o tS n A 
سوچنے 1.0	s o tS n e 
سوچوں 1.0	s o tS o~ 
سوچیں 1.0	s o tS e~ 
سٹارٹ 1.0	s y t' A r t' 
سٹه 1.0	s y t' t' A 
سٹی 1.0	s i t' i 
سٹیشنز 1.0	s i t' e S y n z 
سٹیٹس 1.0	s i t' e t' s 
سپاره 1.0	s i p A r A 
سپاهی 1.0	s i p A h i 
سپاهیوں 1.0	s i p A h i o~ 
سپر 1.0	s U p y r 
سپرد 1.0	s U p U r dd 
سپلاءی 1.0	s y p l A i 
سپنوں 1.0	s y p n o~ 
سپنے 1.0	s y p n e 
سپورٹس 1.0	s p o r t' s 
سچ 1.0	s y tS 
سچا 1.0	s y tS tS A 
سچاءی 1.0	s y tS tS A i 
سچی 1.0	s y tS tS i 
سڑک 1.0	s y r' y k 
سڑکوں 1.0	s y r' k o~ 
سکتا 1.0	s y k td A 
سکتی 1.0	s y k td i 
سکتے 1.0	s y k td e 
سکنات 1.0	s y k n A td 
سکندر 1.0	s i k y n dd y r 
سکواش 1.0	s y k U v A S 
سکوبی	1.0	s y k o b i
سکول 1.0	s k u l 
سکولز 1.0	s k u l z 
سکولوں 1.0	s k u l o~ 
سکون 1.0	s U k u n 
سکوں 1.0	s U k u~ 
سکینر 1.0	s y k e n y r 
سکیں 1.0	s y k e~ 
سکے 1.0	s i k k e 
سی 1.0	s i 
سیاح 1.0	s y j A 
سیاحوں 1.0	s y j A h o~ 
سیاست 1.0	s i j A s y td 
سیاسی 1.0	s i j A s i 
سیالکوٹ 1.0	s i j A l k o t' 
سیخ 1.0	s i x 
سید 1.0	s y j y dd 
سیریل 1.0	s i r i j y l 
سیز 1.0	s i z 
سیف 1.0	s e f 
سیفٹی 1.0	s e f t' i 
سیلاب 1.0	s Y l A b 
سیلابوں 1.0	s Y l A b o~ 
سیلابی 1.0	s Y l A b i 
سیلن 1.0	s i l y n 
سیمی 1.0	s i m i 
سین 1.0	s i n 
سینسر 1.0	s Y n s y r 
سینٹر 1.0	s Y n t' y r 
سینکڑوں 1.0	s Y n k r' o~ 
سینیٹ 1.0	s e n e t' 
سینیٹر 1.0	s e n e t' y r 
سیکریٹری 1.0	s Y k r e t' r i 
سیکنڈری 1.0	s Y k i n d' r i 
سیکٹر 1.0	s Y k t' y r 
سیکھ 1.0	s i kh 
سیکھا 1.0	s i kh A 
سیکیورٹی 1.0	s i k j o r i t' i 
سے 1.0	s e 
ش	1.0	S
شءیرز	1.0	S y i r z
شا 1.0	S A 
شاءد 1.0	S A i dd 
شاءع 1.0	S A e 
شاءقین 1.0	S A i q i n 
شادی 1.0	S A dd i 
شارٹ 1.0	S A r t' 
شاعر 1.0	S A i r 
شاعری 1.0	S A i r i 
شام 1.0	S A m 
شامل 1.0	S A m i l 
شاموں 1.0	S A m o~ 
شان 1.0	S A n 
شانے 1.0	S A n e 
شاه 1.0	S A 
شاهد 1.0	S A h i dd 
شاهدره 1.0	S A h dd y r A 
شاهراه 1.0	S A h r A 
شاهوں 1.0	S A h o~ 
شاهکار 1.0	S A h k A r 
شاهی 1.0	S A h i 
شاپنگ 1.0	S O p i N 
شاگرد 1.0	S A g i r dd 
شاید 1.0	S A e dd 
شاید 1.0	S A j y dd 
شب 1.0	S y b 
شبه 1.0	S U b A 
شبیر 1.0	S y b i r 
شخص 1.0	S y x s 
شخصیات 1.0	S y x s i j A td 
شخصیت 1.0	S y x s i j y td 
شدت 1.0	S i dd dd y td 
شده 1.0	S U dd A 
شدید 1.0	S y dd i dd 
شراب 1.0	S y r A b 
شرارتا 1.0	S y r A r y td y n 
شراکت 1.0	S i r A k y td 
شرح 1.0	S y r A 
شرط 1.0	S y r td 
شرم 1.0	S y r m 
شرمنده 1.0	S y r m i n dd A 
شروع 1.0	S U r u 
شروع 1.0	S r u 
شرکا	1.0	S y r k A
شرکت 1.0	S i r k y td 
شریف 1.0	S y r i f 
شریڈل	1.0	i d' y l
شریک 1.0	S y r i k 
شعبے 1.0	S U b e 
شعر 1.0	S e r 
شعور 1.0	S U u r 
شعوری 1.0	S U u r i 
شعیب 1.0	S U Y b 
شفاف 1.0	S y f f A f 
شفیق 1.0	S y f i q 
شمار 1.0	S U m A r 
شمال 1.0	S U m A l 
شمالی 1.0	S U m A l i 
شمسی 1.0	S y m s i 
شمولیت 1.0	S U m u l i j y td 
شناختی 1.0	S y n A x td i 
شنواری	1.0	S y n v A r i
شنگھاءی 1.0	S i n gh A i 
شهادت 1.0	S y h A dd y td 
شهر 1.0	S E h y r 
شهرت 1.0	S U h r y td 
شهروں 1.0	S y h r o~ 
شهری 1.0	S y h r i 
شهریوں 1.0	S y h y r i o~ 
شهزادی 1.0	S y h z A dd i 
شهزادے 1.0	S y h z A dd e 
شهید 1.0	S y h i dd 
شهیدطفیل	1.0	S y h i dd e td i f i l
شو 1.0	S u 
شوشل	1.0	S o S y l
شوق 1.0	S O q 
شوقین 1.0	S O q i n 
شوهر 1.0	S O h y r 
شوکت 1.0	S O k y td 
شٹل 1.0	S y t' y l 
شپ 1.0	S i p 
شک 1.0	S y k 
شکار 1.0	S i k A r 
شکاری 1.0	S i k A r i 
شکر 1.0	S U k r 
شکریه 1.0	S U k r i j A 
شکل 1.0	S y k l 
شکل 1.0	S y k y l 
شکنی	1.0	S y k n i
شکوه 1.0	S i k v A 
شکیل 1.0	S y k i l 
شیءر 1.0	S e y r 
شیخ 1.0	S e x 
شیطان 1.0	S Y td A n 
شیلنگ 1.0	S Y l i N 
شیڈول 1.0	S e d' u l 
شے 1.0	S Y 
صاحب 1.0	s A h i b 
صاحبه 1.0	s A h i b A 
صادر 1.0	s A dd i r 
صارف 1.0	s A r i f 
صارفین 1.0	s A r i f i n 
صاف 1.0	s A f 
صبح 1.0	s U b h 
صبح 1.0	s U b y 
صبح 1.0	s U b y h 
صبر 1.0	s y b r 
صحافیوں 1.0	s y h A f i o~ 
صحت 1.0	s i h h y td 
صحرا 1.0	s y h r A 
صحراءے	1.0	s U h y r A e
صحیح 1.0	s y h i 
صد 1.0	s y dd 
صدارت 1.0	s y dd A r y td 
صدر 1.0	s y dd r 
صدمه 1.0	s y dd m A 
صدی 1.0	s y dd i 
صدیوں 1.0	s y dd j o~ 
صرف 1.0	s i r f 
صرف 1.0	s i r y f 
صرف 1.0	s y r f 
صرف 1.0	s y r y f 
صغیر 1.0	s y 7 i r 
صفاءی 1.0	s y f A i 
صفحات 1.0	s y f h A td 
صفر 1.0	s y f y r 
صلا 1.0	s y l A 
صلاح 1.0	s y l A 
صلاحتیں	1.0	s y l A h y td i~
صلاحیت 1.0	s y l A h i j y td 
صلاحیتوں 1.0	s y l A h i j y td o~ 
صلی 1.0	s y l 
صوابدیدی 1.0	s y v A b dd i dd i 
صوباءی 1.0	s u b A i 
صوبوں 1.0	s u b o~ 
صوبے 1.0	s u b e 
صورت 1.0	s u r y td 
صورتحال 1.0	s u r y td e h A l 
صورتیں 1.0	s u r y td e~ 
ضرور 1.0	z U r u r 
ضرورت 1.0	z U r u r y td 
ضروری 1.0	z U r u r i 
ضروریات 1.0	z U r u r i j A td 
ضلع 1.0	z i l A 
ضمن 1.0	z i m n 
ضمیر 1.0	z y m i r 
طارق 1.0	td A r i q 
طاقت 1.0	td A q y td 
طالب 1.0	td A l i b 
طالبانوں	1.0	td A l y b A n o~
طالبه 1.0	td A l i b A 
طالبوں 1.0	td A l i b o~ 
طاهر 1.0	td A h i r 
طرح 1.0	td y r h A 
طرز 1.0	td y r z 
طرف 1.0	td y r f 
طرفه 1.0	td y r f A 
طره 1.0	td U r r A 
طریقه 1.0	td y r i q A 
طریقه 1.0	td y r i q A e 
طریقے 1.0	td y r i q e 
طغیانی 1.0	td U 7 j A n i 
طفیل 1.0	td U f Y l 
طلاق 1.0	td y l A q 
طلب 1.0	td y l y b 
طلباء	1.0	td y l b A
طلبه 1.0	td y l y b A 
طور 1.0	td O r 
طور 1.0	td o r 
طور 1.0	td u r 
طویل 1.0	td y v i l 
طیاره 1.0	td y j A r A 
طیارے 1.0	td y j A r e 
طے 1.0	td Y 
ظاهر 1.0	z A h i r 
ظرف 1.0	z y r f 
ظلم 1.0	z U l m 
ظهبی	1.0	z y h b i
عاءد 1.0	A i dd 
عادت 1.0	A dd y td 
عارضی 1.0	A r z i 
عارف 1.0	A r i f 
عاری 1.0	A r i 
عالم 1.0	A l i m 
عالمگیر 1.0	A l y m g i r 
عالمی 1.0	A l y m i 
عام 1.0	A m 
عبارات 1.0	i b A r A td 
عبد 1.0	y b dd 
عبدالستار 1.0	y b dd U s s y td A r 
عبدالقادر 1.0	y b dd U l q A dd i r 
عبور 1.0	U b u r 
عثمان 1.0	U s m A n 
عجیب 1.0	y dZ i b 
عدالت 1.0	y dd A l y td 
عدل 1.0	y dd l 
عدل 1.0	y dd y l 
عرب 1.0	A r y b 
عرب 1.0	y r y b 
عربی 1.0	y r y b i 
عرش 1.0	y r S 
عرصه 1.0	y r s A 
عرصے 1.0	y r s e 
عرض 1.0	y r z 
عرفان 1.0	i r f A n 
عروج 1.0	U r u dZ 
عزت 1.0	i z y td 
عزت 1.0	i z z y td 
عزم 1.0	y z m 
عزیز 1.0	y z i z 
عسکریت 1.0	y s k y r i j y td 
عشق 1.0	i S q 
عطا 1.0	y td A 
عطاء 1.0	y td A 
عظیم 1.0	y z i m 
عقب 1.0	y q y b 
عقل 1.0	y q l 
علاج 1.0	i l A dZ 
علاقه 1.0	i l A q A 
علاقوں 1.0	i l A q o~ 
علاقے 1.0	i l A q e 
علاوه 1.0	i l A v A 
علم 1.0	i l m 
علم 1.0	i l y m 
علوم 1.0	U l u m 
علی 1.0	y l A 
علیه 1.0	y l Y 
علیه 1.0	y l Y h 
علیه 1.0	y l Y h e 
عمارات 1.0	i m A r A td 
عمارت 1.0	i m A r y td 
عمارتوں 1.0	i m A r y td o~ 
عمر 1.0	U m y r 
عمران 1.0	i m r A n 
عمریں 1.0	U m r e~ 
عمل 1.0	y m y l 
عمله 1.0	y m l A 
عملی 1.0	y m y l i 
عملے 1.0	y m l e 
عموما 1.0	U m u m y n 
عمومی 1.0	U m u m i 
عناصر 1.0	y n A s i r 
عنبر 1.0	y m b y r 
عنصر 1.0	U n s y r 
عنقریب 1.0	y n q y r i b 
عنه 1.0	y n h o 
عهد 1.0	y h y dd 
عهدیداران 1.0	U h dd e dd A r A n 
عوام 1.0	y v A m 
عوامی 1.0	y v A m i 
عورت 1.0	O r y td 
عورتو 1.0	O r y td o 
عورتوں 1.0	O r y td o~ 
عورتیں 1.0	O r y td e~ 
عیاری 1.0	Y j A r i 
عیاش 1.0	Y j A S 
عید 1.0	i dd 
عیش 1.0	Y S 
عین 1.0	Y n 
عینی 1.0	Y n i 
غداروں 1.0	7 y dd dd A r o~ 
غذا 1.0	7 i z A 
غربت 1.0	7 U r b y td 
غرض 1.0	7 y r y z 
غرق 1.0	7 y r q 
غریب 1.0	7 y r i b 
غصه 1.0	7 U s s A 
غصے 1.0	7 U s s e 
غلام 1.0	7 U l A m 
غلط 1.0	7 y l y td 
غلطی 1.0	7 y l y td i 
غلیظ 1.0	7 y l i z 
غم 1.0	7 y m 
غنودگی 1.0	7 U n u dd y g i 
غنی 1.0	7 y n i 
غور 1.0	7 O r 
غیر 1.0	7 Y r 
غیرت 1.0	7 Y r y td 
غیرحاضر 1.0	7 Y r h A z i r 
غیرمعمولی 1.0	7 Y r m y m u l i 
فاءده 1.0	f A i dd A 
فاءر 1.0	f A i r 
فاءرنگ 1.0	f A i r i N 
فاءنل 1.0	f A e n y l 
فاءنڈنگ 1.0	f A i n d' i N 
فاخره 1.0	f A x r A 
فارسی 1.0	f A r s i 
فارغ 1.0	f A r i 7 
فارم 1.0	f A r m 
فارمولا 1.0	f A r m u l A 
فارموله 1.0	f A r m u l A 
فاروق 1.0	f A r u q 
فاروقی 1.0	f A r u q i 
فاصله 1.0	f A s i l A 
فاصلے 1.0	f A s i l e 
فاطمه 1.0	f A td i m A 
فاطمی 1.0	f A td i m i 
فاقه 1.0	f A q A 
فانوس 1.0	f A n u s 
فانی 1.0	f A n i 
فتاوا	1.0	f td A v A
فتح 1.0	f y td h 
فتح 1.0	f y td y h 
فتوی 1.0	f y td v A 
فخریه 1.0	f y x r i j A 
فرا 1.0	f y r A 
فراءض 1.0	f y r A i z 
فرانس 1.0	f y r A n s 
فرانسیسی 1.0	f y r A n s i s i 
فراهم 1.0	f y r A h y m 
فراهمی 1.0	f y r A h y m i 
فرحت 1.0	f y r h y td 
فرد 1.0	f y r dd 
فرش 1.0	f y r S 
فرشتوں 1.0	f y r i S td o~ 
فرشتے 1.0	f y r i S td e 
فرشی 1.0	f y r S i 
فرصت 1.0	f U r s y td 
فرق 1.0	f y r q 
فرما 1.0	f y r m A 
فرماءی 1.0	f y r m A i 
فرماءیں 1.0	f y r m A e~ 
فروانی	1.0	f y r v A n i
فروخت 1.0	f y r O x td 
فروری 1.0	f y r v y r i 
فروغ 1.0	f y r u 7 
فری 1.0	f r i 
فرید 1.0	f y r i dd 
فریضه 1.0	f y r i z A 
فریقه	1.0	f y r i q A
فریقین 1.0	f y r i q Y n 
فرینک 1.0	f y r Y n k 
فصلوں 1.0	f y s l o~ 
فضاءی 1.0	f i z A i 
فضاءیه 1.0	f i z A i j A 
فضل 1.0	f y z l 
فطرت 1.0	f i td r y td 
فقدان 1.0	f U q dd A n 
فقه 1.0	f i q A 
فقهه	1.0	f U q y h A
فقهی 1.0	f i q h i 
فقیر 1.0	f y q i r 
فلاءٹ 1.0	f y l A i t' 
فلسفه 1.0	f y l s y f A 
فلم 1.0	f i l m 
فن 1.0	f i n 
فنڈ 1.0	f y n d' 
فنکشن 1.0	f y n k S y n 
فهرست 1.0	f y h r i s td 
فواءد 1.0	f y v A i dd 
فوت 1.0	f O td 
فوتگی	1.0	f O td y g i
فوج 1.0	f O dZ 
فوجی 1.0	f O dZ i 
فور	1.0	f o r
فورا 1.0	f O r y n 
فورس 1.0	f o r s 
فورسز 1.0	f o r s i z 
فوری 1.0	f O r i 
فوقتا	1.0	f O q y td A
فون 1.0	f o n 
فٹ 1.0	f U t' 
فکر 1.0	f i k r 
فکروں 1.0	f i k r o~ 
فی 1.0	f i 
فیس 1.0	f i s 
فیشن 1.0	f Y S y n 
فیصد 1.0	f i s y dd 
فیصله 1.0	f Y s l A 
فیصلے 1.0	f Y s l e 
فیض 1.0	f Y z 
فیل 1.0	f i l 
فیملی 1.0	f Y m l i 
فیکٹ 1.0	f Y k t' 
فیکٹری 1.0	f Y k t' y r i 
ق	1.0	q
قاءد 1.0	q A i dd 
قاءدانه 1.0	q A e dd A n A 
قاءم 1.0	q A i m 
قابل 1.0	q A b i l 
قابو 1.0	q A b u 
قاری 1.0	q A r i 
قاعده 1.0	q A i dd A 
قانون 1.0	q A n u n 
قانونی 1.0	q A n u n i 
قاهره 1.0	q A h i r A 
قباءلی 1.0	q y b A i l i 
قبر 1.0	q y b r 
قبل 1.0	q y b l 
قبول 1.0	q U b u l 
قتل 1.0	q y td l 
قتل 1.0	q y td y l 
قد 1.0	q y dd 
قدر 1.0	q y dd r 
قدرت 1.0	q U dd r y td 
قدرتی 1.0	q U dd r y td i 
قدرے 1.0	q y dd r e 
قدم 1.0	q y dd y m 
قدیم 1.0	q y dd i m 
قرآن 1.0	k U r A n 
قرآن 1.0	k U r A n e 
قرآن 1.0	q U r A n 
قرآن 1.0	q U r A n e 
قرآنی 1.0	q U r A n i 
قرار 1.0	q y r A r 
قریب 1.0	q y r i b 
قسام 1.0	q y s s A m 
قسم 1.0	q i s m 
قسم 1.0	q i s y m 
قصبے 1.0	q y s b e 
قصه 1.0	q i s s A 
قصور 1.0	q U s u r 
قطار 1.0	q i td A r 
قطرے 1.0	q y td r e 
قطعی 1.0	q y td i 
قلب 1.0	q y l b 
قلت 1.0	q i l l y td 
قلعلے	1.0	y l e
قلعه 1.0	q y l A 
قلعوں 1.0	q y l o~ 
قلعے 1.0	q y l e 
قلیل 1.0	q y l i l 
قناعت 1.0	q y n A y td 
قهقه	1.0	q y h q A
قوانین 1.0	q y v A n i n 
قوت 1.0	q U v y td 
قوت 1.0	q U v y td e 
قوت 1.0	q U y td 
قوت 1.0	q U y td e 
قوله	1.0	q u l A
قوم 1.0	q O m 
قومی 1.0	q O m i 
قوی 1.0	q y v i 
قی	1.0	q i
قیادت 1.0	q i j A dd y td 
قیام 1.0	q i j A m 
قیامت 1.0	q i j A m y td 
قید 1.0	q Y dd 
قیدی 1.0	q Y dd i 
قیدیوں 1.0	q Y dd i o~ 
قیصر 1.0	q Y s y r 
قیمت 1.0	k i m y td 
قیمت 1.0	q i m y td 
قیمتی 1.0	q i m y td i 
لءیے	1.0	l y i e
لءے 1.0	l i e 
لا 1.0	l A 
لاءبریری 1.0	l A i b r e r i 
لاءزنگ	1.0	l A i z i N
لاءسنس 1.0	l A e s y n s 
لاءن 1.0	l A i n 
لاءونج 1.0	l A u n dZ 
لاءٹ 1.0	l A i t' 
لاءے 1.0	l A e 
لابی 1.0	l A b i 
لاحقه 1.0	l A h i q A 
لازم 1.0	l A z i m 
لازمی 1.0	l A z m i 
لاشعوری 1.0	l A S U u r i 
لاعلم 1.0	l A i l m 
لاغر 1.0	l A 7 y r 
لال 1.0	l A l 
لانا 1.0	l A n A 
لانے 1.0	l A n e 
لاهور 1.0	l A h o r 
لاٹھی 1.0	l A t'h i 
لاپته 1.0	l A p y td A 
لاپرواهی 1.0	l A p y r v A h i 
لاکھ 1.0	l A kh 
لاکھوں 1.0	l A kh o~ 
لایا 1.0	l A j A 
لباس 1.0	l i b A s 
لذیذ 1.0	l y z i z 
لطیفے 1.0	l y td i f e 
لعنت 1.0	l y y n y td 
لغو 1.0	l y 7 v 
لفظ 1.0	l y f z 
للچاءی 1.0	l y l tS A i 
لمبے 1.0	l y m b e 
لمحات 1.0	l y m h A td 
لمحوں 1.0	l y m h o~ 
لمحے 1.0	l y m h e 
لمیٹڈ 1.0	l i m i t' i d' 
لندن 1.0	l y n dd y n 
لنگر 1.0	l y N g y r 
لهذا 1.0	l h A z A 
لهروں 1.0	l y h r o~ 
لهریں 1.0	l y h r e~ 
لوها 1.0	l o h A 
لوٹنے 1.0	l u t' n e 
لوڈ 1.0	l o d' 
لوگ 1.0	l o g 
لوگوں 1.0	l o g o~ 
لپیٹ 1.0	l y p e t' 
لپیٹے 1.0	l y p e t' e 
لڑتے 1.0	l y r' td e 
لڑنا 1.0	l y r' n A 
لڑنے	1.0	l y r' n e
لڑکوں 1.0	l y r' k o~ 
لڑکی 1.0	l y r' k i 
لڑکے 1.0	l y r' k e 
لکھ 1.0	l i kh 
لکھا 1.0	l i kh A 
لکھا 1.0	l i kh kh A 
لکھتے 1.0	l i kh td e 
لکھنءو 1.0	l y kh n y u 
لکھنا 1.0	l i kh n A 
لکھنو	1.0	l i kh y n o
لکھنے 1.0	l i kh n e 
لکھیں 1.0	l i kh i~ 
لکھے 1.0	l i kh kh e 
لگ 1.0	l y g 
لگا 1.0	l y g A 
لگاءی 1.0	l y g A i 
لگام 1.0	l y g A m 
لگانے 1.0	l y g A n e 
لگایا 1.0	l y g A j A 
لگتا 1.0	l y g td A 
لگتیں 1.0	l y g td i~ 
لگتے 1.0	l y g td e 
لگنے 1.0	l y g n e 
لگی 1.0	l y g i 
لگیں 1.0	l y g i~ 
لگے 1.0	l y g e 
لی 1.0	l i 
لیءے 1.0	l i e 
لیا 1.0	l i A 
لیا 1.0	l i j A 
لیب 1.0	l Y b 
لیبارٹری 1.0	l i b A r t' y r i 
لیتا 1.0	l e td A 
لیتی 1.0	l e td i 
لیتے 1.0	l e td e 
لیزر 1.0	l e z y r 
لیس 1.0	l i s 
لیسدار 1.0	l e s dd A r 
لین 1.0	l e n 
لینا 1.0	l i n A 
لینس 1.0	l Y n s 
لینے 1.0	l e n e 
لیٹر 1.0	l i t' y r 
لیٹرز 1.0	l Y t' y r z 
لیڈر 1.0	l i d' y r 
لیڈیز 1.0	l e d' i z 
لیک 1.0	l i k 
لیکن 1.0	l e k i n 
لیں 1.0	l e~ 
لیں 1.0	l i~ 
لیے 1.0	l i e 
لے 1.0	l e 
مءی 1.0	m y i 
ماحول 1.0	m A h O l 
مار 1.0	m A r 
مارتا 1.0	m A r td A 
مارچ 1.0	m A r tS 
مارکیٹ 1.0	m A r k i t' 
مارے 1.0	m A r e 
ماسی 1.0	m A s i 
ماضی 1.0	m A z i 
مال 1.0	m A l 
مالا 1.0	m A l A 
مالک 1.0	m A l i k 
مالکان 1.0	m A l i k A n 
مالی 1.0	m A l i 
مالیاتی 1.0	m A l i j A td i 
ماما 1.0	m A m A 
مانند 1.0	m A n i n dd 
مانگ 1.0	m A N 
مانگتے 1.0	m A N td e 
مانگنا 1.0	m A N n A 
مانیے 1.0	m A n j e 
ماه 1.0	m A 
ماها 1.0	m A h A 
ماهانه 1.0	m A h A n A 
ماهر 1.0	m A h i r 
ماهرین 1.0	m A h i r i n 
ماڈلز 1.0	m A d' y l z 
ماڑے 1.0	m A r' e 
ماں 1.0	m A~ 
مایه 1.0	m A j A 
مایوس 1.0	m A j u s 
مباحثے 1.0	m U b A h y s e 
مبارک 1.0	m U b A r i k 
